"Fold","Landmark","S-MHA Expected Error Accuracy (%)","S-MHA True Separation Accuracy (%)","S-MHA Av Distance (%) From Correct Bin ","S-MHA Binned keys","S-MHAexpected error bounds","S-MHA B0%","S-MHA NOE0","S-MHA OE0","S-MHA B1%","S-MHA NOE1","S-MHA OE1","S-MHA B2%","S-MHA NOE2","S-MHA OE2","S-MHA B3%","S-MHA NOE3","S-MHA OE3","S-MHA B4%","S-MHA NOE4","S-MHA OE4","S-MHA NEE0","S-MHA NEE1","S-MHA NEE2","S-MHA NEE3","E-MHA Expected Error Accuracy (%)","E-MHA True Separation Accuracy (%)","E-MHA Av Distance (%) From Correct Bin ","E-MHA Binned keys","E-MHAexpected error bounds","E-MHA B0%","E-MHA NOE0","E-MHA OE0","E-MHA B1%","E-MHA NOE1","E-MHA OE1","E-MHA B2%","E-MHA NOE2","E-MHA OE2","E-MHA B3%","E-MHA NOE3","E-MHA OE3","E-MHA B4%","E-MHA NOE4","E-MHA OE4","E-MHA NEE0","E-MHA NEE1","E-MHA NEE2","E-MHA NEE3","E-CPV Expected Error Accuracy (%)","E-CPV True Separation Accuracy (%)","E-CPV Av Distance (%) From Correct Bin ","E-CPV Binned keys","E-CPVexpected error bounds","E-CPV B0%","E-CPV NOE0","E-CPV OE0","E-CPV B1%","E-CPV NOE1","E-CPV OE1","E-CPV B2%","E-CPV NOE2","E-CPV OE2","E-CPV B3%","E-CPV NOE3","E-CPV OE3","E-CPV B4%","E-CPV NOE4","E-CPV OE4","E-CPV NEE0","E-CPV NEE1","E-CPV NEE2","E-CPV NEE3"
"0","16","0.61","0.29","27.599999999999998","{0: [0, 1, 2, 4, 13, 17, 22, 25, 39, 40, 45, 49, 56, 58, 64, 69, 71, 73, 74, 76, 88, 95, 99], 1: [7, 11, 18, 41, 44, 48, 59, 75, 80, 81, 82, 86, 87, 90, 92, 96], 2: [3, 5, 8, 15, 19, 20, 26, 27, 30, 31, 37, 43, 47, 50, 51, 53, 54, 55, 61, 68, 72, 77, 79, 84, 94, 98], 3: [10, 12, 24, 28, 29, 33, 35, 36, 38, 42, 62, 63, 70, 78, 85, 93], 4: [6, 9, 14, 16, 21, 23, 32, 34, 46, 52, 57, 60, 65, 66, 67, 83, 89, 91, 97]}","[array([20.88156894]), array([20.88156894]), array([19.23846508]), array([13.2772136])]","1.0","86.64754097738346","18.093366000255504","0.9381026359788464","81.28428659196852","16.973434338569724","0.9472599708703862","82.07774714222683","17.139121350349264","0.8958688484093266","77.62483275290845","16.209282962497362","0.7639235166162954","66.19209420959731","13.8219477823409","100.0","100.0","92.13131993842877","63.583410025247446","0.61","0.35","21.800000000000004","{0: [1, 2, 4, 5, 13, 22, 25, 29, 30, 31, 40, 44, 45, 48, 56, 61, 64, 69, 75, 88], 1: [7, 17, 19, 37, 41, 53, 58, 67, 71, 72, 74, 76, 77, 80, 81, 82, 84, 87, 92, 95, 96], 2: [6, 8, 12, 15, 20, 28, 34, 39, 42, 43, 49, 51, 54, 59, 70, 73, 78, 90, 94, 98, 99], 3: [0, 3, 11, 18, 23, 26, 27, 35, 47, 50, 62, 63, 85, 86, 93], 4: [9, 10, 14, 16, 21, 24, 32, 33, 36, 38, 46, 52, 55, 57, 60, 65, 66, 68, 79, 83, 89, 91, 97]}","[array([14.68840876]), array([13.89951663]), array([13.89951663]), array([13.89951663])]","1.0","105.56142253130645","15.505293237080659","0.8575054495580803","90.51949508369839","13.295873447792712","0.7656107680981239","80.81896178572411","11.871019464827969","0.7483915589749472","79.00127757581755","11.6040305780625","0.7616692101965076","80.40288532663999","11.809904453752475","100.0","94.62915183483635","94.62915183483635","94.62915183483635","0.57","0.28","27.0","{0: [3, 9, 10, 11, 15, 18, 27, 29, 32, 36, 39, 46, 54, 58, 59, 60, 66, 68, 86, 91, 92, 93], 1: [0, 7, 14, 20, 21, 28, 33, 45, 50, 51, 62, 67, 69, 70, 71, 72, 73, 82, 83, 85, 89, 90, 97], 2: [23, 24, 37, 42, 47, 52, 55, 78, 79, 95], 3: [2, 5, 6, 16, 26, 31, 35, 43, 57, 76, 81, 94, 99], 4: [1, 4, 8, 12, 13, 17, 19, 22, 25, 30, 34, 38, 40, 41, 44, 48, 49, 53, 56, 61, 63, 64, 65, 74, 75, 77, 80, 84, 87, 88, 96, 98]}","[array([12.98604473]), array([12.98604473]), array([12.98604473]), array([16.37770551])]","1.0","90.37888496327191","14.801987618908464","0.8284094561976948","74.87072294417811","12.262106514024973","0.8216738388179563","74.26196535585811","12.162405988964379","0.769188473526581","69.5183965639336","11.385518261747555","0.7374294143952898","66.64804821216487","10.915421061697998","100.0","79.29098934941565","79.29098934941565","79.29098934941565"
"1","16","0.59","0.33","24.0","{0: [14, 19, 21, 23, 24, 25, 33, 35, 36, 39, 45, 47, 48, 49, 50, 51, 52, 53, 55, 72, 73, 76, 83, 87, 91, 95, 96, 98], 1: [0, 5, 6, 7, 8, 11, 22, 26, 28, 30, 31, 32, 37, 42, 46, 56, 58, 59, 60, 63, 68, 71, 77, 78, 85, 89, 97], 2: [12, 13, 16, 20, 27, 34, 38, 40, 44, 75, 81], 3: [15, 17, 57, 61, 65, 66, 67, 69, 70, 74, 79, 80, 82, 90, 93, 94], 4: [1, 2, 3, 4, 9, 10, 18, 29, 41, 43, 54, 62, 64, 84, 86, 88, 92, 99]}","[array([13.76277003]), array([13.76277003]), array([13.76277003]), array([13.76277003])]","1.0","126.34134377369239","17.38806859181763","0.8184993502082577","103.41030778320534","14.232122843779344","0.646203714362204","81.64224562407215","11.23623450961733","0.5847135894215914","73.87350061026291","10.167039999430521","0.6166600885642763","77.90966424081483","10.72252791779197","100.0","100.0","100.0","100.0","0.64","0.27","28.199999999999996","{0: [0, 13, 14, 16, 21, 23, 24, 25, 31, 33, 35, 36, 37, 39, 45, 46, 48, 49, 50, 51, 52, 53, 56, 59, 72, 83, 87, 95, 96], 1: [4, 7, 11, 12, 17, 19, 26, 32, 38, 40, 42, 47, 55, 58, 62, 66, 67, 73, 78, 81, 82, 85, 91, 97, 99], 2: [6, 8, 15, 28, 30, 34, 57, 63, 74, 75, 76, 89, 93], 3: [3, 5, 9, 10, 22, 27, 41, 43, 60, 65, 68, 69, 70, 71, 80, 90, 92, 94, 98], 4: [1, 2, 18, 20, 29, 44, 54, 61, 64, 77, 79, 84, 86, 88]}","[array([13.35926293]), array([11.56151829]), array([11.04971909]), array([11.04971909])]","1.0","104.41586028098433","13.949189317525825","0.8347516528163096","87.16131194978853","11.644108838252292","0.883722622291178","92.27465785630073","12.32721416252001","0.8842787469674211","92.33272609279415","12.334971650913072","0.8575830915505621","89.5452762666781","11.962588899547873","100.0","86.54308513862811","82.71204138689164","82.71204138689164","0.6","0.2","28.199999999999996","{0: [2, 5, 15, 18, 23, 29, 30, 38, 44, 47, 57, 63, 64, 67, 73, 80, 86], 1: [8, 11, 19, 20, 22, 24, 26, 37, 41, 43, 52, 54, 65, 66, 68, 78, 82, 85, 91, 92, 98, 99], 2: [3, 6, 12, 14, 48, 70, 74, 75, 76, 79, 81, 97], 3: [4, 9, 13, 28, 32, 33, 42, 49, 51, 53, 55, 61, 62, 72, 77, 84, 88, 90, 93, 94, 96], 4: [0, 1, 7, 10, 16, 17, 21, 25, 27, 31, 34, 35, 36, 39, 40, 45, 46, 50, 56, 58, 59, 60, 69, 71, 83, 87, 89, 95]}","[array([11.39016732]), array([11.46852929]), array([12.30463576]), array([12.30463576])]","1.0","109.5960755839999","13.485397913190303","0.8515886147210104","93.33077018543763","11.484011327855335","0.8034442766959943","88.05433967630631","10.834765772320853","0.8170289280758197","89.54316415571196","11.01796020168977","0.6300790315405151","69.05418916460775","8.49686645708143","100.0","100.0","93.20494738240521","92.56809823446562"
"2","16","0.53","0.31","25.2","{0: [3, 4, 12, 39, 43, 44, 46, 55, 67, 76, 78, 90, 91, 94, 96, 97], 1: [0, 10, 13, 14, 29, 36, 40, 42, 47, 50, 52, 59, 63, 64, 70, 71, 80, 82, 84, 87], 2: [1, 2, 9, 18, 22, 27, 32, 35, 48, 49, 51, 54, 57, 61, 66, 68, 77, 79, 81, 83, 85, 86, 88, 95, 99], 3: [5, 6, 8, 11, 15, 16, 17, 20, 21, 24, 25, 26, 28, 30, 33, 34, 37, 41, 45, 58, 60, 62, 69, 72, 73, 74, 98], 4: [7, 19, 23, 31, 38, 53, 56, 65, 75, 89, 92, 93]}","[array([12.51206004]), array([12.51206004]), array([11.11473734]), array([10.15014779])]","1.0","111.20955019368179","13.914605694088307","0.966084876590287","107.4378645745244","13.442690124775806","0.8713532469367752","96.90280265164292","12.124536851388786","0.8538626094651934","94.95767672582755","11.88116152763348","0.9429686887289292","104.86712372027019","13.121037485534544","100.0","100.0","88.83219311835246","81.1229146112146","0.53","0.21","28.199999999999996","{0: [3, 4, 12, 13, 24, 39, 42, 43, 48, 55, 64, 67, 84, 87, 91, 94, 96, 97], 1: [9, 20, 32, 37, 38, 40, 44, 46, 50, 51, 52, 54, 57, 62, 63, 70, 71, 74, 76, 77, 78, 83, 88, 90], 2: [5, 6, 11, 14, 18, 19, 26, 27, 33, 34, 35, 36, 47, 49, 59, 61, 66, 72, 73, 80, 82, 85, 93, 95], 3: [0, 1, 8, 10, 16, 17, 22, 23, 25, 29, 30, 31, 45, 53, 60, 68, 69, 75, 79, 81, 86, 89], 4: [2, 7, 15, 21, 28, 41, 56, 58, 65, 92, 98, 99]}","[array([11.22724172]), array([11.22724172]), array([11.22724172]), array([11.22724172])]","1.0","114.50169501063294","12.85538206944193","0.9178798772530044","105.09880176162072","11.799696515939832","0.9079265692770947","103.95913112741621","11.67174293905469","0.7477254064126568","85.6158264367636","9.612295782463448","0.7812517117729095","89.4546452279566","10.043289247246276","100.0","100.0","100.0","100.0","0.6","0.32","24.2","{0: [2, 11, 15, 21, 22, 23, 30, 57, 62, 69, 81, 84, 85, 89, 91, 98], 1: [3, 5, 8, 12, 13, 19, 25, 26, 27, 32, 33, 34, 38, 41, 42, 44, 46, 47, 50, 51, 53, 55, 56, 60, 61, 65, 73, 78, 79, 80, 86, 92, 99], 2: [0, 1, 7, 10, 17, 28, 36, 39, 40, 63, 64, 68, 71, 72, 76, 82, 88, 93], 3: [4, 6, 16, 18, 20, 29, 31, 35, 37, 43, 49, 58, 66, 70, 74, 75, 77, 83, 87, 90, 95, 96], 4: [9, 14, 24, 45, 48, 52, 54, 59, 67, 94, 97]}","[array([10.4356845]), array([10.4356845]), array([10.44705169]), array([14.02117249])]","1.0","86.32120760731591","12.103245412003321","0.9277251999953873","80.0823595913405","11.228485770444035","0.842489535672757","72.72471411579924","10.196857607292104","0.8550817701302844","73.81169100064746","10.349264511217044","0.6205026918155836","53.562541681111355","7.510096357852673","100.0","74.50911611681438","74.42804452942221","74.42804452942221"
"3","16","0.53","0.23","30.4","{0: [1, 5, 6, 8, 19, 23, 24, 31, 35, 38, 41, 44, 47, 48, 49, 56, 58, 59, 62, 63, 66, 67, 70, 81, 83, 91, 93, 95, 98, 99], 1: [4, 15, 30, 32, 34, 40, 45, 51, 53, 55, 57, 64, 65, 74, 84, 87, 92, 94], 2: [12, 13, 16, 25, 28, 42, 43, 46, 75, 78, 85, 88, 97], 3: [0, 7, 9, 10, 18, 20, 21, 22, 26, 29, 33, 39, 50, 52, 54, 61, 68, 69, 71, 72, 73, 76, 77, 82, 86, 90, 96], 4: [2, 3, 11, 14, 17, 27, 36, 37, 60, 79, 80, 89]}","[array([19.55932939]), array([19.35815543]), array([19.35815543]), array([19.35815543])]","1.0","107.23769417724367","20.97497383068303","0.9263970750409516","99.34468621993462","19.431154405805263","0.8623082839710571","92.47195204299202","18.086893690274113","0.9131967615927246","97.9291150433299","19.154278176671887","1.0329475769200684","110.77091635487919","21.666048394365884","100.0","98.97146800479246","98.97146800479246","98.97146800479246","0.53","0.21","32.8","{0: [4, 5, 6, 8, 10, 12, 19, 23, 24, 29, 30, 31, 32, 38, 42, 44, 45, 48, 49, 51, 53, 58, 62, 63, 66, 67, 81, 83, 91, 92, 93, 94, 96, 99], 1: [13, 25, 34, 46, 47, 54, 56, 57, 64, 65, 70, 75, 82, 88, 95], 2: [1, 14, 16, 26, 35, 39, 41, 43, 55, 69, 71, 84, 85, 87], 3: [11, 40, 52, 59, 61, 68, 73, 76, 77, 79, 86, 90, 97, 98], 4: [0, 2, 3, 7, 9, 15, 17, 18, 20, 21, 22, 27, 28, 33, 36, 37, 50, 60, 72, 74, 78, 80, 89]}","[array([13.97891005]), array([13.97891005]), array([11.65831994]), array([11.65831994])]","1.0","108.07086142766858","15.107128505838237","0.9116169287533981","98.51922678242528","13.771914090775164","0.8963042572417063","96.86437318139784","13.540583594480347","0.8945040554945283","96.66982382783672","13.513387715349296","0.9290865080462463","100.40717926538237","14.035829270095153","100.0","100.0","83.3993487542853","83.3993487542853","0.5","0.21","31.2","{0: [9, 18, 21, 39, 40, 43, 52, 67, 71, 72, 74, 75, 77, 78, 79, 89, 90, 93], 1: [2, 3, 6, 11, 13, 14, 20, 26, 50, 59, 61, 64, 73, 76, 80, 82, 83, 85, 92, 94, 99], 2: [0, 10, 16, 19, 25, 27, 32, 33, 36, 37, 41, 42, 63, 68, 84, 87, 88, 97, 98], 3: [7, 28, 29, 34, 60, 70], 4: [1, 4, 5, 8, 12, 15, 17, 22, 23, 24, 30, 31, 35, 38, 44, 45, 46, 47, 48, 49, 51, 53, 54, 55, 56, 57, 58, 62, 65, 66, 69, 81, 86, 91, 95, 96]}","[array([10.06966711]), array([13.62293383]), array([13.62293383]), array([15.8000909])]","1.0","96.01696333352557","15.17076748795367","0.9147034786375419","87.82705036938913","13.876753794832544","0.8871495085299689","85.18140183187725","13.45873892096053","0.833069023339905","79.9887578683236","12.638296454506348","0.7989412644062137","76.71191409013197","12.120552158838384","100.0","86.22060414041309","86.22060414041309","63.73170365364588"
