fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[11.10392362191024, 11.117277125350299, 15.745687602903146, 15.745687602903146, 15.745687602903146, 22.03295659757962, 22.03295659757962, 23.487470546948177, 29.305526344422315]","[10.931517378997066, 13.203770853276824, 13.203770853276824, 16.62854312698464, 16.62854312698464, 16.62854312698464, 16.62854312698464, 16.62854312698464, 16.62854312698464]","[17.487124410981753, 17.487124410981753, 17.487124410981753, 17.487124410981753, 17.487124410981753, 17.487124410981753, 20.355254817734856, 32.19183111143065, 32.19183111143065]"
1,"[13.641223177145536, 13.641223177145536, 13.641223177145536, 14.085535048203301, 16.734303329138974, 17.757023769586823, 24.921158134858743, 24.921158134858743, 24.921158134858743]","[13.151519702224633, 13.151519702224633, 13.151519702224633, 14.51816872833469, 14.51816872833469, 14.51816872833469, 14.51816872833469, 16.49845760810197, 16.49845760810197]","[19.774807920949815, 19.774807920949815, 19.774807920949815, 54.738876073661906, 54.738876073661906, 54.738876073661906, 54.738876073661906, 54.738876073661906, 64.6661950590386]"
2,"[9.921126935391847, 9.921126935391847, 9.921126935391847, 9.921126935391847, 10.439011186702526, 13.786890634588525, 18.00139686683426, 20.97741348534984, 21.223819444626386]","[10.429401012001, 10.429401012001, 10.429401012001, 10.429401012001, 12.199541596540204, 12.199541596540204, 12.199541596540204, 13.16184896614849, 14.383598876642242]","[13.911312421917929, 13.911312421917929, 13.911312421917929, 15.269078856504773, 15.269078856504773, 18.274036481815145, 18.274036481815145, 18.274036481815145, 26.238180084124707]"
3,"[9.10940838959083, 11.427302790525095, 11.427302790525095, 11.427302790525095, 11.427302790525095, 11.427302790525095, 11.427302790525095, 12.997589845969319, 20.382714519144304]","[10.047535276921348, 10.047535276921348, 10.047535276921348, 10.047535276921348, 11.286036990918078, 11.286036990918078, 12.56304055208858, 12.56304055208858, 12.56304055208858]","[9.880745911829584, 9.880745911829584, 10.373156844931597, 10.373156844931597, 12.467841081818909, 12.467841081818909, 22.20585371148785, 22.20585371148785, 40.2869550002429]"
