fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[8.294198648834103, 9.288376736993063, 9.288376736993063, 9.685201805547827, 9.685201805547827, 11.273204254233866, 11.273204254233866, 11.273204254233866, 11.273204254233866]","[8.675359535144795, 9.464773784631044, 9.464773784631044, 9.464773784631044, 9.464773784631044, 9.464773784631044, 9.464773784631044, 9.464773784631044, 14.314351662979345]","[9.209367702859995, 10.053844549835672, 10.254421584278822, 10.254421584278822, 10.254421584278822, 10.701393200766272, 11.833496693823696, 11.833496693823696, 13.468314903624737]"
1,"[8.205906082203603, 8.36018488000124, 8.36018488000124, 8.36018488000124, 8.36018488000124, 8.36018488000124, 8.36018488000124, 8.36018488000124, 18.520053579764816]","[6.7322323327802955, 6.7322323327802955, 6.7322323327802955, 6.7322323327802955, 6.7322323327802955, 8.353344589924221, 8.353344589924221, 9.613781115854692, 10.306863771932695]","[8.911112979080471, 15.460943008616756, 15.460943008616756, 15.460943008616756, 15.460943008616756, 15.460943008616756, 16.77624434141626, 16.77624434141626, 16.77624434141626]"
2,"[5.966677650762158, 6.773214145266287, 6.773214145266287, 6.773214145266287, 6.773214145266287, 6.773214145266287, 6.773214145266287, 6.773214145266287, 15.322747907554195]","[5.610228710022095, 5.610228710022095, 5.867444237996133, 5.977679464270723, 5.977679464270723, 6.091936641518065, 6.998060573396613, 6.998060573396613, 14.107126297798708]","[8.845475604066623, 8.845475604066623, 8.845475604066623, 8.845475604066623, 8.845475604066623, 8.845475604066623, 8.845475604066623, 8.845475604066623, 17.7257713542472]"
3,"[5.5751849622820195, 6.330506653829459, 6.330506653829459, 6.330506653829459, 6.902124284535576, 6.902124284535576, 6.902124284535576, 6.902124284535576, 6.902124284535576]","[6.8529477176904185, 6.8529477176904185, 6.8529477176904185, 6.8529477176904185, 7.629532888298756, 7.629532888298756, 7.629532888298756, 7.629532888298756, 7.704965729137407]","[8.603817533161388, 8.603817533161388, 8.800221125538986, 8.800221125538986, 8.800221125538986, 12.017790834841731, 12.017790834841731, 12.124364725183021, 15.783299883317989]"
