fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[13.833725589522144, 16.681001839631744, 16.681001839631744, 16.681001839631744, 16.681001839631744, 16.681001839631744, 16.681001839631744, 18.814418627685544, 27.34808577990061]","[14.854512911475616, 15.593136935167431, 15.593136935167431, 15.593136935167431, 15.593136935167431, 15.593136935167431, 15.593136935167431, 15.593136935167431, 20.846507172311263]","[17.24840061854266, 18.75941083737992, 18.75941083737992, 18.75941083737992, 18.75941083737992, 18.75941083737992, 18.75941083737992, 18.75941083737992, 38.09645467023976]"
1,"[12.563089773397335, 12.605748806958031, 15.894408244407785, 18.72396798542559, 21.097858908346804, 23.641796758211385, 23.641796758211385, 27.487727353473524, 27.487727353473524]","[7.3657495777000435, 11.14261173734358, 11.14261173734358, 11.14261173734358, 13.327671245788073, 15.400211298467603, 15.820495309994177, 17.53717145066458, 23.858591588463515]","[50.85760931634222, 55.3622020494864, 55.3622020494864, 55.3622020494864, 55.3622020494864, 55.3622020494864, 55.3622020494864, 63.30296972111745, 63.30296972111745]"
2,"[7.617011304465304, 13.372943599397065, 14.739469821816423, 14.739469821816423, 18.606296350845373, 26.518776265056577, 26.518776265056577, 26.518776265056577, 35.62589597706923]","[9.182696776842215, 12.217399565869645, 13.650378354469384, 13.650378354469384, 14.257251755380082, 14.257251755380082, 15.633317541093644, 16.417921875162634, 16.417921875162634]","[20.959922375119163, 20.959922375119163, 22.77934609320205, 22.77934609320205, 22.77934609320205, 22.77934609320205, 28.00191174380989, 28.00191174380989, 28.00191174380989]"
3,"[5.792669966993022, 11.077845253256829, 11.077845253256829, 12.39179929596656, 12.754522707262097, 15.505598563676207, 22.411107433443544, 26.50351902679169, 26.50351902679169]","[6.299678498651016, 8.552026562630035, 10.783791043331613, 10.783791043331613, 10.783791043331613, 12.902179727419798, 13.633033123224905, 13.633033123224905, 15.497669275978454]","[8.344378066600806, 12.498790842046557, 13.703366788839773, 27.162502812794713, 27.162502812794713, 27.162502812794713, 27.162502812794713, 37.738938652120034, 40.70298745951023]"
