fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[12.754962672070963, 12.754962672070963, 12.754962672070963, 12.754962672070963, 12.754962672070963, 13.106672041789592, 13.106672041789592, 22.50867370182333, 22.50867370182333]","[9.370279020799703, 13.35869380566212, 13.35869380566212, 13.847930612148616, 13.847930612148616, 13.847930612148616, 13.847930612148616, 13.847930612148616, 13.847930612148616]","[10.500764718889219, 19.33713395835909, 24.072044716519294, 24.072044716519294, 24.072044716519294, 24.072044716519294, 24.072044716519294, 24.072044716519294, 24.072044716519294]"
1,"[10.973156813484508, 10.973156813484508, 10.973156813484508, 13.01038010556477, 13.01038010556477, 19.8891884407657, 19.8891884407657, 23.26321481185036, 28.931479136855863]","[9.002067859806191, 10.636038508129097, 10.636038508129097, 13.66004111260564, 14.619103701527921, 14.619103701527921, 15.453525221581884, 16.459062944856615, 20.481213837955668]","[34.72187159391978, 34.72187159391978, 34.72187159391978, 34.72187159391978, 34.72187159391978, 34.72187159391978, 34.72187159391978, 34.72187159391978, 34.72187159391978]"
2,"[11.152021246358375, 11.152021246358375, 11.870045344607046, 11.870045344607046, 12.142917136001541, 12.142917136001541, 13.219591746850389, 27.032850779446417, 28.80365661897657]","[12.416653124969438, 12.416653124969438, 12.854768287246777, 12.854768287246777, 12.854768287246777, 14.577663823264588, 14.577663823264588, 14.577663823264588, 14.735446883078483]","[11.980608302594993, 18.29881577021656, 18.29881577021656, 18.29881577021656, 18.29881577021656, 19.078576998692924, 19.430419367513604, 19.430419367513604, 26.366119646928393]"
3,"[9.734426159446828, 9.734426159446828, 9.734426159446828, 12.129626055700001, 12.129626055700001, 12.129626055700001, 12.129626055700001, 24.34787555109034, 24.34787555109034]","[10.07225682242701, 10.07225682242701, 10.07225682242701, 10.07225682242701, 10.07225682242701, 10.07225682242701, 10.07225682242701, 14.399134134144369, 25.03273861543386]","[12.687826822358243, 14.257994107285782, 16.030311560626117, 16.030311560626117, 16.174556798039482, 16.31880203545285, 16.31880203545285, 16.31880203545285, 21.196759313226945]"
