fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[10.398837423213502, 10.398837423213502, 10.398837423213502, 21.71913956282424, 21.71913956282424, 21.71913956282424, 21.71913956282424, 21.71913956282424, 21.71913956282424]","[10.081972304240466, 11.964629974691372, 13.995637115530393, 17.511295400453662, 17.511295400453662, 17.511295400453662, 17.511295400453662, 17.511295400453662, 27.43334740638393]","[12.137021697514857, 12.239365088480893, 12.239365088480893, 12.239365088480893, 12.239365088480893, 27.003485246359077, 27.350568150318004, 27.350568150318004, 46.13701664379563]"
1,"[9.187915491513877, 9.187915491513877, 9.187915491513877, 9.187915491513877, 9.187915491513877, 13.866829409987332, 13.866829409987332, 18.8018281194416, 18.8018281194416]","[9.517563880936, 9.797106128806952, 9.797106128806952, 9.797106128806952, 9.797106128806952, 15.25722952072185, 15.995839211454541, 15.995839211454541, 19.344938979557313]","[11.98732101847192, 11.98732101847192, 14.277948405795366, 14.277948405795366, 14.277948405795366, 14.277948405795366, 18.744053531220327, 35.01809699641331, 43.31128576262602]"
2,"[6.704744585267087, 8.089057515422661, 8.089057515422661, 11.008723708781787, 11.507786520038142, 14.673695383297622, 14.673695383297622, 16.028041835717737, 24.722397004849924]","[8.411837001982372, 8.743904401601789, 8.743904401601789, 8.743904401601789, 11.688233766967318, 13.2226101386844, 15.998566219505832, 15.998566219505832, 15.998566219505832]","[9.843745045712433, 15.507216504186784, 15.507216504186784, 15.507216504186784, 16.04752475989537, 16.04752475989537, 16.04752475989537, 24.262328600849138, 24.262328600849138]"
3,"[7.172618813650691, 11.499521120969744, 13.324289369662717, 13.324289369662717, 15.138547985271876, 15.138547985271876, 15.138547985271876, 15.138547985271876, 15.189940770994541]","[8.997019322298467, 8.997019322298467, 9.65685424949238, 10.613068276206285, 12.465769465847393, 13.269635142004185, 17.948011401198293, 17.948011401198293, 17.948011401198293]","[15.361067474756009, 15.361067474756009, 15.361067474756009, 15.361067474756009, 16.627800152532696, 17.798188107788725, 19.553770040672717, 23.813114602424704, 28.736119002749252]"
