"Fold","Landmark","S-MHA Expected Error Accuracy (%)","S-MHA True Separation Accuracy (%)","S-MHA Av Distance (%) From Correct Bin ","S-MHA Binned keys","S-MHAexpected error bounds","S-MHA B0%","S-MHA NOE0","S-MHA OE0","S-MHA B1%","S-MHA NOE1","S-MHA OE1","S-MHA B2%","S-MHA NOE2","S-MHA OE2","S-MHA B3%","S-MHA NOE3","S-MHA OE3","S-MHA B4%","S-MHA NOE4","S-MHA OE4","S-MHA NEE0","S-MHA NEE1","S-MHA NEE2","S-MHA NEE3","E-MHA Expected Error Accuracy (%)","E-MHA True Separation Accuracy (%)","E-MHA Av Distance (%) From Correct Bin ","E-MHA Binned keys","E-MHAexpected error bounds","E-MHA B0%","E-MHA NOE0","E-MHA OE0","E-MHA B1%","E-MHA NOE1","E-MHA OE1","E-MHA B2%","E-MHA NOE2","E-MHA OE2","E-MHA B3%","E-MHA NOE3","E-MHA OE3","E-MHA B4%","E-MHA NOE4","E-MHA OE4","E-MHA NEE0","E-MHA NEE1","E-MHA NEE2","E-MHA NEE3","E-CPV Expected Error Accuracy (%)","E-CPV True Separation Accuracy (%)","E-CPV Av Distance (%) From Correct Bin ","E-CPV Binned keys","E-CPVexpected error bounds","E-CPV B0%","E-CPV NOE0","E-CPV OE0","E-CPV B1%","E-CPV NOE1","E-CPV OE1","E-CPV B2%","E-CPV NOE2","E-CPV OE2","E-CPV B3%","E-CPV NOE3","E-CPV OE3","E-CPV B4%","E-CPV NOE4","E-CPV OE4","E-CPV NEE0","E-CPV NEE1","E-CPV NEE2","E-CPV NEE3"
"0","5","0.62","0.26","28.199999999999996","{0: [2, 4, 8, 12, 13, 19, 25, 27, 28, 29, 44, 46, 47, 48, 54, 56, 57, 64, 78, 84, 95, 96], 1: [1, 3, 7, 14, 16, 22, 26, 32, 38, 42, 53, 58, 73, 81, 86, 88, 89, 93], 2: [10, 11, 21, 34, 55, 61, 67, 72, 74, 79, 87, 90, 94], 3: [0, 5, 15, 17, 23, 24, 35, 37, 41, 52, 59, 66, 69, 70, 71, 75, 82, 83, 85, 92, 99], 4: [6, 9, 18, 20, 30, 31, 33, 36, 39, 40, 43, 45, 49, 50, 51, 60, 62, 63, 65, 68, 76, 77, 80, 91, 97, 98]}","[array([18.30774631]), array([16.83969841]), array([16.83969841]), array([15.81136653])]","1.0","87.5967679489794","16.036994049629826","0.9421303303301718","82.52757192362738","15.108938501480747","0.8624707442413485","75.54964964609296","13.831438193378313","0.8708968298515942","76.2877475120119","13.966567278171496","0.947220386594963","82.97344440110153","15.190567703511485","100.0","91.98127463827525","91.98127463827525","86.36435238295618","0.56","0.28","27.999999999999996","{0: [1, 2, 4, 8, 19, 25, 29, 44, 54, 57, 58, 84], 1: [12, 13, 26, 27, 28, 48, 64, 67, 72, 73, 78, 86, 90, 95, 96], 2: [3, 10, 14, 16, 22, 34, 38, 42, 43, 46, 47, 53, 55, 65, 66, 69, 71, 74, 75, 79, 80, 81, 88, 89, 92], 3: [5, 6, 7, 9, 11, 23, 24, 31, 32, 33, 37, 52, 56, 59, 61, 68, 70, 77, 82, 83, 94, 98, 99], 4: [0, 15, 17, 18, 20, 21, 30, 35, 36, 39, 40, 41, 45, 49, 50, 51, 60, 62, 63, 76, 85, 87, 91, 93, 97]}","[array([15.16129171]), array([15.16129171]), array([14.96769203]), array([10.03039837])]","1.0","89.99447524432055","13.644324913964097","0.9935355480437962","89.41271028277986","13.55612183108294","0.978104920727417","88.02403907475164","13.345581338351973","0.8560590971183415","77.04058922329199","11.680348466637398","0.9363333209011963","84.26482586827515","12.775636058146931","100.0","100.0","98.72306603458478","66.15794064925167","0.58","0.23","27.200000000000003","{0: [0, 3, 5, 15, 16, 17, 18, 21, 30, 35, 40, 41, 46, 50, 59, 60, 62, 70, 71, 91], 1: [6, 11, 27, 28, 32, 36, 39, 45, 49, 52, 53, 56, 65, 66, 78, 79, 81, 82, 83, 87, 88, 89, 97, 98, 99], 2: [8, 9, 12, 19, 20, 23, 24, 26, 37, 38, 51, 63, 73, 76, 80, 90, 94], 3: [7, 10, 13, 14, 22, 31, 34, 42, 43, 48, 55, 57, 61, 64, 68, 69, 72, 74, 77, 85, 86], 4: [1, 2, 4, 25, 29, 33, 44, 47, 54, 58, 67, 75, 84, 92, 93, 95, 96]}","[array([12.92746653]), array([13.79186059]), array([13.90178414]), array([14.40562594])]","1.0","100.02329745868592","14.408982088530413","0.9054960574624962","90.57070150323862","13.047276473212014","0.8777033758893986","87.79078584707814","12.646812222233022","0.8645304873365218","86.47319009696362","12.457004307020412","1.1104565979295873","111.07153060967153","16.000549229657842","100.0","96.50246503867487","95.73940514839853","89.73901296817938"
"1","5","0.52","0.27","31.6","{0: [3, 5, 6, 9, 27, 34, 43, 45, 51, 55, 69, 79, 81, 87, 92, 97, 99], 1: [1, 10, 11, 15, 16, 23, 31, 32, 35, 39, 40, 41, 59, 60, 70, 83, 88, 94, 95, 98], 2: [21, 33, 53, 61, 80, 82, 84, 96], 3: [0, 7, 13, 19, 20, 48, 54, 56, 68, 75, 76, 78, 86, 90], 4: [2, 4, 8, 12, 14, 17, 18, 22, 24, 25, 26, 28, 29, 30, 36, 37, 38, 42, 44, 46, 47, 49, 50, 52, 57, 58, 62, 63, 64, 65, 66, 67, 71, 72, 73, 74, 77, 85, 89, 91, 93]}","[array([16.9168817]), array([16.9168817]), array([14.47603069]), array([14.47603069])]","1.0","100.9328905236538","17.074697688282107","0.8826111195864815","89.08449150818186","15.070318043255378","0.8725994680811173","88.07398658282996","14.89937212044085","0.855123296014209","86.31006602082816","14.60097176564999","0.7437720758401543","75.07106550532502","12.699683343956666","100.0","100.0","85.57150750017233","85.57150750017233","0.63","0.16","31.6","{0: [3, 5, 6, 9, 10, 11, 21, 27, 31, 33, 34, 43, 69, 97, 99], 1: [7, 19, 25, 45, 55, 56, 60, 75, 79, 84, 87, 94, 95, 98], 2: [1, 4, 15, 16, 20, 23, 26, 39, 40, 51, 53, 59, 61, 68, 73, 78, 81, 83], 3: [0, 13, 14, 32, 35, 37, 42, 44, 47, 48, 54, 66, 67, 70, 74, 80, 86, 88, 93, 96], 4: [2, 8, 12, 17, 18, 22, 24, 28, 29, 30, 36, 38, 41, 46, 49, 50, 52, 57, 58, 62, 63, 64, 65, 71, 72, 76, 77, 82, 85, 89, 90, 91, 92]}","[array([13.85559769]), array([13.85559769]), array([13.85559769]), array([13.85559769])]","1.0","95.33651460361139","13.209443914500214","0.9858839056625939","93.9907353696673","13.022978158058454","0.9761397792383786","93.06176431852569","12.894263666561983","0.9702339104426525","92.49871937183492","12.816250423938442","0.8732290194879163","83.250611168707","11.534869757439646","100.0","100.0","100.0","100.0","0.6","0.25","28.4","{0: [14, 17, 22, 28, 32, 37, 46, 49, 56, 59, 72, 75, 88], 1: [2, 8, 12, 13, 38, 41, 42, 50, 53, 54, 57, 61, 64, 66, 70, 71, 80, 85, 86, 89, 91, 94, 95, 96, 98], 2: [4, 7, 15, 18, 24, 25, 29, 33, 36, 47, 58, 60, 62, 63, 65, 73, 74, 77, 78, 79, 81, 82, 87, 92, 93, 97, 99], 3: [0, 1, 16, 19, 20, 21, 26, 30, 31, 34, 39, 40, 44, 45, 48, 51, 52, 67, 68, 90], 4: [3, 5, 6, 9, 10, 11, 23, 27, 35, 43, 55, 69, 76, 83, 84]}","[array([13.53897278]), array([13.53897278]), array([13.53897278]), array([13.53897278])]","1.0","100.59389641535613","13.619380255613692","0.9298331757031812","93.53554216024745","12.663751594186483","0.9460977768180144","95.17166176003006","12.885265381475275","0.9891376977020543","99.50121510316428","13.471442430166542","0.867367303084512","87.2518566405502","11.8130051219941","100.0","100.0","100.0","100.0"
"2","5","0.57","0.29","28.799999999999997","{0: [1, 2, 4, 6, 7, 10, 14, 21, 25, 27, 29, 31, 46, 50, 51, 52, 53, 55, 56, 59, 63, 64, 65, 71, 74, 77, 81, 90, 92, 94, 99], 1: [0, 9, 12, 15, 20, 24, 28, 33, 36, 41, 48, 61, 70, 78, 82, 83, 88, 98], 2: [19, 22, 30, 37, 38, 44, 60, 69, 75, 76, 80, 95], 3: [3, 11, 13, 26, 40, 43, 45, 54, 57, 62, 67, 73, 84, 91], 4: [5, 8, 16, 17, 18, 23, 32, 34, 35, 39, 42, 47, 49, 58, 66, 68, 72, 79, 85, 86, 87, 89, 93, 96, 97]}","[array([12.74091986]), array([12.74091986]), array([12.26924492]), array([12.26924492])]","1.0","106.96074233844024","13.627782466692004","0.9038498015816909","96.67644573962959","12.317468478518014","0.8454233705381413","90.42711130302582","11.52124578595134","0.7239215307405213","77.43118432278615","9.865445143886513","0.7270907775352462","77.77016931260366","9.908634949788285","100.0","100.0","96.29795223438667","96.29795223438667","0.49","0.19","32.99999999999999","{0: [1, 4, 6, 12, 15, 20, 21, 25, 26, 27, 28, 29, 31, 33, 46, 50, 52, 55, 56, 59, 65, 67, 74, 81, 83, 88, 92], 1: [0, 2, 7, 10, 19, 38, 48, 53, 63, 71, 78, 94, 95, 99], 2: [11, 13, 14, 22, 24, 32, 36, 37, 49, 51, 64, 75, 79, 80, 84, 85, 90, 93, 98], 3: [5, 8, 9, 18, 30, 39, 41, 42, 44, 45, 54, 57, 61, 62, 66, 70, 73, 82, 87, 91], 4: [3, 16, 17, 23, 34, 35, 40, 43, 47, 58, 60, 68, 69, 72, 76, 77, 86, 89, 96, 97]}","[array([14.98770959]), array([11.15137639]), array([10.11272425]), array([10.11272425])]","1.0","78.18323206852112","11.717875772765751","1.017073716217205","79.51811038580293","11.917943458378415","0.9868437290200017","77.15463228133557","11.563712223789288","0.9931840177959176","77.65033655008445","11.638006940028932","0.8987083000857006","70.26391958750645","10.530952216357724","100.0","74.40347252656089","67.47344675589268","67.47344675589268","0.58","0.28","27.400000000000002","{0: [9, 14, 16, 23, 24, 26, 35, 40, 41, 42, 43, 44, 46, 49, 51, 57, 58, 60, 63, 66, 71, 80, 86, 89, 91, 95], 1: [11, 18, 31, 34, 37, 48, 62, 69, 72, 76, 85, 96], 2: [3, 7, 8, 13, 15, 22, 32, 36, 47, 53, 54, 61, 64, 65, 81, 84, 87, 93, 94, 97, 98, 99], 3: [0, 2, 5, 6, 10, 12, 17, 21, 25, 28, 29, 30, 33, 39, 45, 56, 68, 70, 73, 75, 77, 78, 79, 82, 88, 90], 4: [1, 4, 19, 20, 27, 38, 50, 52, 55, 59, 67, 74, 83, 92]}","[array([10.99976676]), array([10.99976676]), array([10.99976676]), array([14.22693474])]","1.0","88.61879817798244","12.60773858831744","0.9221381701855651","81.71877639588861","11.626076992008985","0.8218394311295872","72.83042268198079","10.36153670925335","0.8481146005814773","75.15889662073012","10.692807177066523","0.8718942009701837","77.26621622832997","10.992614162501987","100.0","77.31649129527406","77.31649129527406","77.31649129527406"
"3","5","0.64","0.26","26.8","{0: [6, 10, 12, 19, 20, 24, 27, 35, 36, 37, 41, 48, 49, 55, 59, 60, 62, 63, 70, 71, 73, 76, 88, 92, 94, 95], 1: [0, 1, 8, 9, 14, 18, 21, 39, 50, 52, 53, 54, 58, 83, 84, 91, 97, 98], 2: [4, 7, 11, 15, 22, 26, 28, 31, 32, 33, 34, 45, 56, 57, 61, 64, 67, 69, 75, 77, 79, 82, 85, 86, 87], 3: [13, 16, 23, 47, 65, 66, 68, 72, 81, 90, 93, 96], 4: [2, 3, 5, 17, 25, 29, 30, 38, 40, 42, 43, 44, 46, 51, 74, 78, 80, 89, 99]}","[array([15.24351934]), array([15.24351934]), array([14.09004431]), array([14.09004431])]","1.0","129.49592534502926","19.73973642404883","0.7026524923026128","90.99063468671791","13.870174995754576","0.6611492331605352","85.61613173928001","13.050911599550968","0.7650937783819075","99.07652680728985","15.102749524938481","0.7248881766918651","93.87006521238415","14.309101544806753","100.0","100.0","92.4330136438926","92.4330136438926","0.54","0.22","30.8","{0: [0, 4, 6, 8, 10, 12, 14, 15, 18, 19, 20, 24, 27, 35, 36, 41, 46, 48, 49, 54, 55, 58, 59, 62, 63, 64, 71, 73, 76, 82, 88, 90, 91, 92, 94, 95], 1: [11, 31, 37, 39, 42, 50, 60, 61, 75, 77, 83, 85, 96, 98], 2: [7, 52, 56, 66, 69, 70, 79, 87, 93, 97, 99], 3: [9, 16, 21, 22, 26, 28, 29, 33, 34, 40, 44, 45, 47, 53, 65, 67, 72, 74, 80, 81, 84], 4: [1, 2, 3, 5, 13, 17, 23, 25, 30, 32, 38, 43, 51, 57, 68, 78, 86, 89]}","[array([15.30588227]), array([12.87690351]), array([12.87690351]), array([11.14818225])]","1.0","85.94779599492483","13.155068469675799","0.9005953977402322","77.40418951894567","11.847394120747664","0.936723490043688","80.5093194259289","12.322661648678393","0.9213898947584619","79.19143070648553","12.120947152814944","0.909581821716131","78.1765528535501","11.965611143448148","100.0","84.13042308907285","84.13042308907285","72.83593363274898","0.54","0.28","31.2","{0: [0, 1, 13, 36, 38, 39, 43, 57, 65, 68, 78, 81, 85, 87, 96, 97], 1: [6, 8, 16, 17, 22, 25, 28, 30, 31, 37, 45, 46, 51, 60, 66, 67, 70, 75, 77, 80], 2: [26, 29, 33, 34, 42, 47, 52, 53, 58, 59, 69, 72, 74, 92, 95, 99], 3: [2, 7, 9, 11, 12, 14, 21, 23, 32, 48, 55, 56, 83, 84, 89, 91], 4: [3, 4, 5, 10, 15, 18, 19, 20, 24, 27, 35, 40, 41, 44, 49, 50, 54, 61, 62, 63, 64, 71, 73, 76, 79, 82, 86, 88, 90, 93, 94, 98]}","[array([13.66607582]), array([13.68174314]), array([13.68174314]), array([13.68174314])]","1.0","98.84489261662601","13.523704315515374","0.9020318954177602","89.16124583934013","12.198812636793676","0.9365614602930882","92.57431697154074","12.665780262311017","0.988507310667012","97.70889897363058","13.368280583185967","1.0962707818319706","108.36076770892578","14.825641903234434","100.0","100.0","100.0","99.8854873693594"
