fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[7.94236026951065, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 8.825882414153527, 13.265738814971945, 22.44778579455792, 22.44778579455792, 22.44778579455792]","[5.917511594427492, 7.934027230934802, 8.15808452388008, 8.15808452388008, 8.71633781183109, 8.71633781183109, 8.71633781183109, 8.71633781183109, 8.71633781183109, 8.71633781183109, 8.71633781183109, 10.342486749274995, 10.342486749274995, 10.342486749274995, 10.801014812318954, 12.23657051111456, 12.4764565497695, 12.604878567089985, 14.718038647544612]","[9.092830222978318, 9.092830222978318, 9.092830222978318, 11.493692329724457, 11.493692329724457, 11.493692329724457, 11.493692329724457, 11.493692329724457, 11.493692329724457, 11.493692329724457, 11.493692329724457, 11.493692329724457, 12.881043997779813, 12.881043997779813, 12.881043997779813, 12.881043997779813, 14.419814229794568, 14.419814229794568, 15.561906991252014]"
1,"[7.291869979751033, 7.291869979751033, 7.291869979751033, 7.291869979751033, 7.866235767883179, 7.866235767883179, 7.866235767883179, 7.866235767883179, 7.866235767883179, 7.866235767883179, 7.866235767883179, 7.866235767883179, 10.471809375719463, 11.35709359684712, 11.35709359684712, 16.491152170555992, 16.491152170555992, 16.491152170555992, 16.491152170555992]","[7.181595411535454, 7.181595411535454, 7.181595411535454, 7.181595411535454, 7.181595411535454, 7.181595411535454, 7.9727179304010605, 8.990184036298837, 8.990184036298837, 8.990184036298837, 8.990184036298837, 8.990184036298837, 8.990184036298837, 8.990184036298837, 12.498070192954534, 14.961368242423395, 14.961368242423395, 14.961368242423395, 14.961368242423395]","[7.089043418079536, 11.635630746479308, 11.635630746479308, 11.635630746479308, 11.635630746479308, 11.635630746479308, 11.635630746479308, 11.635630746479308, 11.635630746479308, 13.388739778436936, 15.141848810394587, 15.141848810394587, 15.141848810394587, 15.141848810394587, 15.141848810394587, 15.141848810394587, 15.141848810394587, 17.719899054179418, 40.92235124821418]"
2,"[5.64386860284128, 5.64386860284128, 5.64386860284128, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.6550200168771125, 7.951973520226591, 17.34886819013904, 17.34886819013904]","[4.2208901373511525, 6.000289662811564, 6.032865538547677, 6.032865538547677, 6.032865538547677, 6.0921103551602815, 6.0921103551602815, 6.0921103551602815, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906, 7.94794233042906]","[11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.176491796548014, 11.338242078465841, 11.338242078465841, 11.338242078465841, 11.338242078465841, 14.481977966302088]"
3,"[7.267849878904291, 9.236560170553226, 9.455305758514214, 9.455305758514214, 9.455305758514214, 9.789213178745664, 9.789213178745664, 9.789213178745664, 9.789213178745664, 9.789213178745664, 9.789213178745664, 9.789213178745664, 9.789213178745664, 9.789213178745664, 9.789213178745664, 10.631370542996544, 18.843202922910873, 18.843202922910873, 20.454135697677653]","[8.56901200693021, 8.56901200693021, 8.56901200693021, 8.56901200693021, 8.56901200693021, 8.56901200693021, 8.590665626003283, 9.11893393412759, 9.11893393412759, 9.11893393412759, 9.11893393412759, 10.458662034076037, 12.46825418399868, 12.46825418399868, 12.46825418399868, 12.46825418399868, 12.46825418399868, 12.46825418399868, 12.46825418399868]","[8.48235963838172, 8.76287831281656, 8.76287831281656, 8.76287831281656, 8.76287831281656, 10.613115264651665, 11.406073958295087, 11.406073958295087, 11.406073958295087, 11.406073958295087, 11.406073958295087, 11.406073958295087, 11.645808411956946, 12.022831128903748, 12.022831128903748, 12.022831128903748, 12.022831128903748, 12.022831128903748, 21.102545925376518]"
