fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[12.362114590428888, 12.455502931946546, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396, 13.037274535069164, 16.275180219215677, 16.29959869000842]","[12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444, 15.777483281967633]","[15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393, 16.244275530987338, 16.244275530987338, 16.483251556519424]"
1,"[9.825768701031315, 9.835114763276186, 10.380383215031152, 10.476607059458502, 10.476607059458502, 12.333969504014009, 13.185269242993815, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794, 13.215039307546794]","[9.217027870987849, 9.217027870987849, 11.049849149430528, 11.264252984904132, 12.33569663677483, 12.33569663677483, 12.33569663677483, 12.33569663677483, 12.33569663677483, 12.33569663677483, 12.33569663677483, 12.33569663677483, 12.33569663677483, 12.659910005242, 14.867318907100538, 14.867318907100538, 14.867318907100538, 14.867318907100538, 14.867318907100538]","[10.572857990015834, 10.572857990015834, 10.572857990015834, 10.572857990015834, 10.572857990015834, 10.572857990015834, 13.193290457764547, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 14.604292555783113, 23.17658802285294]"
2,"[6.333315762835308, 8.20255254120222, 8.410245516576321, 8.410245516576321, 8.410245516576321, 8.410245516576321, 8.410245516576321, 8.461721602378168, 10.063015814217827, 10.101042438146841, 10.101042438146841, 10.101042438146841, 10.101042438146841, 10.101042438146841, 10.279945285208129, 11.554328161152219, 13.00131119149208, 13.06874073542918, 13.675606630863017]","[8.649142921714244, 8.829212013507407, 8.829212013507407, 8.829212013507407, 8.829212013507407, 8.829212013507407, 8.829212013507407, 9.954917641859051, 9.954917641859051, 9.954917641859051, 9.954917641859051, 9.954917641859051, 9.954917641859051, 9.954917641859051, 10.307886552931954, 12.459267448654119, 12.459267448654119, 12.459267448654119, 12.459267448654119]","[9.486036326668387, 12.037857823024273, 12.037857823024273, 12.037857823024273, 12.037857823024273, 12.037857823024273, 12.037857823024273, 12.037857823024273, 12.037857823024273, 14.707613940683215, 14.707613940683215, 14.707613940683215, 14.707613940683215, 16.340007615858468, 20.148926191267307, 20.148926191267307, 20.148926191267307, 20.148926191267307, 31.013596249264975]"
3,"[7.787747521472832, 7.787747521472832, 7.787747521472832, 7.787747521472832, 7.787747521472832, 7.787747521472832, 7.787747521472832, 7.787747521472832, 7.787747521472832, 8.035533905932738, 9.848688662514556, 9.848688662514556, 9.848688662514556, 9.848688662514556, 9.848688662514556, 10.81759227534892, 10.81759227534892, 32.163019378785236, 32.163019378785236]","[6.745811094865005, 6.745811094865005, 6.745811094865005, 6.745811094865005, 6.745811094865005, 7.52896761905472, 8.975586085419241, 9.573806061725566, 9.573806061725566, 9.573806061725566, 9.573806061725566, 9.573806061725566, 9.816010079621085, 12.235615610790157, 18.6074289848816, 20.723419204325825, 20.723419204325825, 20.723419204325825, 26.482690255278474]","[12.786120061662192, 12.985389538591779, 14.076867743113157, 14.076867743113157, 14.076867743113157, 14.076867743113157, 14.076867743113157, 16.048370429279284, 16.048370429279284, 16.048370429279284, 16.66003966434943, 17.40763539610184, 17.40763539610184, 17.40763539610184, 17.40763539610184, 17.40763539610184, 17.40763539610184, 17.40763539610184, 17.40763539610184]"
