fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[14.856320321131372, 14.856320321131372, 22.234229435761172, 22.976548210780205, 22.976548210780205, 22.976548210780205, 22.976548210780205, 22.976548210780205, 22.976548210780205, 26.515245181717344, 27.40739729012588, 27.40739729012588, 27.40739729012588, 27.40739729012588, 27.40739729012588, 27.40739729012588, 33.03966468474859, 33.03966468474859, 33.03966468474859]","[11.132410761150133, 11.132410761150133, 12.752505703017027, 15.487896410343865, 20.889911234044323, 20.889911234044323, 20.889911234044323, 20.889911234044323, 20.889911234044323, 20.889911234044323, 20.889911234044323, 20.889911234044323, 20.889911234044323, 26.75861786490885, 29.399062088958058, 29.399062088958058, 29.399062088958058, 29.399062088958058, 29.399062088958058]","[10.906175503283919, 41.5001314243522, 41.5001314243522, 41.5001314243522, 41.5001314243522, 41.5001314243522, 41.5001314243522, 41.5001314243522, 41.5001314243522, 41.5001314243522, 49.051814914445195, 49.051814914445195, 49.051814914445195, 49.517838575267795, 50.60522711718715, 50.60522711718715, 56.19361830665906, 56.19361830665906, 59.394425216073266]"
1,"[9.023954968687125, 9.023954968687125, 9.023954968687125, 9.023954968687125, 9.023954968687125, 9.023954968687125, 10.63705069086452, 15.453757007079956, 15.453757007079956, 16.829832723947327, 20.27569951247265, 24.487314476225777, 25.131753847528522, 25.131753847528522, 25.131753847528522, 25.813525071261687, 28.540609966194307, 28.540609966194307, 30.912246188799465]","[8.927180559013772, 8.927180559013772, 8.927180559013772, 8.927180559013772, 8.927180559013772, 8.927180559013772, 8.927180559013772, 8.927180559013772, 8.927180559013772, 11.16845439444593, 14.125350526432886, 21.233034002420897, 22.975499366267684, 26.21150647055451, 26.71263960473159, 33.18250794671758, 40.96048415489237, 40.96048415489237, 43.14445524938112]","[12.63293538644565, 17.747562751379835, 17.747562751379835, 17.747562751379835, 17.747562751379835, 17.747562751379835, 17.747562751379835, 17.747562751379835, 17.747562751379835, 17.747562751379835, 37.5540121119441, 37.5540121119441, 37.5540121119441, 37.69296649644632, 37.69296649644632, 37.69296649644632, 37.69296649644632, 38.505844493172, 62.260920211813314]"
2,"[8.652338557374039, 8.652338557374039, 8.652338557374039, 10.2076184007075, 12.29872840772545, 12.995765076731425, 16.624226676619514, 16.624226676619514, 16.624226676619514, 16.624226676619514, 21.008376445890267, 21.008376445890267, 22.84050033099454, 22.84050033099454, 22.84050033099454, 24.76470654397489, 25.612072460102343, 36.8332424094137, 36.8332424094137]","[8.440264925882529, 8.440264925882529, 8.440264925882529, 8.440264925882529, 11.547331532598154, 12.583020401503369, 12.583020401503369, 12.583020401503369, 12.583020401503369, 12.583020401503369, 13.838086607063442, 15.372056413859038, 18.605781663761327, 18.605781663761327, 18.605781663761327, 21.277437583408073, 24.856857461377807, 28.184409173621745, 59.89727377973158]","[7.338822942557515, 7.338822942557515, 7.338822942557515, 11.700712512121909, 12.791184904513063, 18.343392530938605, 18.343392530938605, 18.343392530938605, 18.343392530938605, 18.343392530938605, 18.343392530938605, 18.343392530938605, 18.343392530938605, 19.419888431495686, 25.86499134413393, 25.86499134413393, 25.86499134413393, 25.86499134413393, 44.694447792928]"
3,"[10.135350671326247, 10.824265758898802, 10.824265758898802, 11.327918999272024, 11.327918999272024, 11.327918999272024, 11.327918999272024, 11.327918999272024, 11.327918999272024, 11.327918999272024, 12.07589168132542, 12.07589168132542, 14.694529227747406, 19.55771324253093, 25.501089894268638, 27.943106057341055, 28.346038574031866, 30.62932283527969, 30.62932283527969]","[10.6425087448275, 10.870544615522839, 10.870544615522839, 10.870544615522839, 10.870544615522839, 10.870544615522839, 10.984175276604713, 12.741469100817373, 12.741469100817373, 12.741469100817373, 12.741469100817373, 13.241585561854285, 21.710235168452996, 21.710235168452996, 21.710235168452996, 21.710235168452996, 21.710235168452996, 22.23688855161514, 26.976769000073972]","[7.70753665267353, 10.307512965874366, 10.307512965874366, 10.307512965874366, 11.576824712007236, 11.99992862738485, 11.99992862738485, 11.99992862738485, 11.99992862738485, 21.482299378154302, 30.964670128923615, 32.87438446009698, 32.87438446009698, 32.87438446009698, 32.87438446009698, 32.87438446009698, 32.87438446009698, 32.87438446009698, 34.7677298664476]"
