"Fold","Landmark","S-MHA Expected Error Accuracy (%)","S-MHA True Separation Accuracy (%)","S-MHA Av Distance (%) From Correct Bin ","S-MHA Binned keys","S-MHAexpected error bounds","S-MHA B0%","S-MHA NOE0","S-MHA OE0","S-MHA B1%","S-MHA NOE1","S-MHA OE1","S-MHA B2%","S-MHA NOE2","S-MHA OE2","S-MHA B3%","S-MHA NOE3","S-MHA OE3","S-MHA B4%","S-MHA NOE4","S-MHA OE4","S-MHA NEE0","S-MHA NEE1","S-MHA NEE2","S-MHA NEE3","E-MHA Expected Error Accuracy (%)","E-MHA True Separation Accuracy (%)","E-MHA Av Distance (%) From Correct Bin ","E-MHA Binned keys","E-MHAexpected error bounds","E-MHA B0%","E-MHA NOE0","E-MHA OE0","E-MHA B1%","E-MHA NOE1","E-MHA OE1","E-MHA B2%","E-MHA NOE2","E-MHA OE2","E-MHA B3%","E-MHA NOE3","E-MHA OE3","E-MHA B4%","E-MHA NOE4","E-MHA OE4","E-MHA NEE0","E-MHA NEE1","E-MHA NEE2","E-MHA NEE3","E-CPV Expected Error Accuracy (%)","E-CPV True Separation Accuracy (%)","E-CPV Av Distance (%) From Correct Bin ","E-CPV Binned keys","E-CPVexpected error bounds","E-CPV B0%","E-CPV NOE0","E-CPV OE0","E-CPV B1%","E-CPV NOE1","E-CPV OE1","E-CPV B2%","E-CPV NOE2","E-CPV OE2","E-CPV B3%","E-CPV NOE3","E-CPV OE3","E-CPV B4%","E-CPV NOE4","E-CPV OE4","E-CPV NEE0","E-CPV NEE1","E-CPV NEE2","E-CPV NEE3"
"0","2","0.54","0.29","25.2","{0: [1, 4, 6, 13, 15, 21, 25, 26, 27, 28, 29, 38, 41, 44, 48, 56, 61, 64, 80, 81, 87, 90, 92, 96, 98, 99], 1: [2, 16, 30, 54, 70, 74, 79, 86, 94], 2: [3, 8, 12, 24, 31, 42, 45, 47, 71, 77, 85, 93, 95], 3: [0, 5, 11, 17, 18, 19, 22, 23, 37, 39, 43, 49, 58, 59, 66, 67, 75, 78, 82, 83, 88, 89, 97], 4: [7, 9, 10, 14, 20, 32, 33, 34, 35, 36, 40, 46, 50, 51, 52, 53, 55, 57, 60, 62, 63, 65, 68, 69, 72, 73, 76, 84, 91]}","[array([29.05440463]), array([26.72824559]), array([26.72824559]), array([17.22462964])]","1.0","88.57552844821303","25.73509243992954","0.9175609289919828","81.27344416889815","23.613515326876303","0.8745096015589553","77.4601500911207","22.505585435725667","0.8553063080202475","75.7592082179835","22.01138690135592","0.8677954288576284","76.8654386960081","22.332795580599367","100.0","91.99378177833145","91.99378177833145","59.284056438218805","0.49","0.23","28.599999999999998","{0: [1, 2, 4, 5, 13, 15, 21, 25, 26, 27, 29, 30, 38, 44, 47, 48, 61, 64, 74, 80, 81, 84, 87, 90, 94, 96, 99], 1: [6, 16, 19, 24, 31, 34, 41, 45, 66, 70, 75, 78, 92], 2: [3, 18, 28, 33, 35, 37, 39, 40, 42, 46, 49, 56, 59, 69, 79, 82, 85, 86, 88, 93, 98], 3: [8, 12, 14, 17, 20, 22, 36, 51, 54, 55, 57, 67, 71, 72, 77, 83, 89, 97], 4: [0, 7, 9, 10, 11, 23, 32, 43, 50, 52, 53, 58, 60, 62, 63, 65, 68, 73, 76, 91, 95]}","[array([21.23101562]), array([21.23101562]), array([20.87413909]), array([20.87413909])]","1.0","108.30531598682542","22.994318554468165","0.9509808627862482","102.99628284148848","21.86715689810997","0.885366659992038","95.8899158746379","20.358403017362427","0.8519641492008382","92.27224638864365","19.590335043710517","0.8537865867433584","92.46962606255255","19.63224075310885","100.0","100.0","98.31907934930271","98.31907934930271","0.53","0.35","22.400000000000002","{0: [0, 8, 9, 12, 32, 33, 43, 53, 56, 59, 65, 71, 79, 95], 1: [17, 26, 28, 31, 40, 46, 50, 55, 58, 62, 68, 76, 82, 91, 98], 2: [7, 10, 11, 20, 22, 23, 42, 52, 60, 67, 70, 77, 78, 85, 86, 92, 93], 3: [1, 5, 6, 13, 14, 16, 18, 19, 21, 24, 27, 35, 36, 37, 38, 39, 41, 51, 54, 57, 63, 72, 73, 75, 81, 83, 89, 94, 96, 97], 4: [2, 3, 4, 15, 25, 29, 30, 34, 44, 45, 47, 48, 49, 61, 64, 66, 69, 74, 80, 84, 87, 88, 90, 99]}","[array([17.67040361]), array([17.67040361]), array([22.53910669]), array([22.53910669])]","1.0","120.44274766571353","27.146719393177495","0.8046708570989135","96.91676899551787","21.844173961531833","0.7162577128648249","86.26804697419918","19.444047144340498","0.7136625255542397","85.95547548380512","19.37359632264731","0.6729840837119785","81.05605217756325","18.26931007660375","100.0","100.0","78.39886403727336","78.39886403727336"
"1","2","0.52","0.23","26.400000000000002","{0: [5, 7, 11, 13, 14, 22, 25, 31, 33, 39, 52, 56, 59, 65, 85, 87, 90], 1: [17, 18, 30, 35, 36, 40, 46, 60, 61, 63, 70, 75, 78, 80, 82, 96, 97], 2: [2, 3, 19, 23, 24, 26, 29, 38, 41, 42, 43, 44, 47, 57, 58, 62, 66, 71, 72, 74, 77, 91, 93, 94, 98, 99], 3: [0, 4, 12, 15, 21, 28, 45, 48, 50, 53, 55, 67, 69, 73, 76, 79, 83, 86, 89, 92, 95], 4: [1, 6, 8, 9, 10, 16, 20, 27, 32, 34, 37, 49, 51, 54, 64, 68, 81, 84, 88]}","[array([25.75930869]), array([25.14130703]), array([19.88895421]), array([16.90858778])]","1.0","84.72430150224224","21.82439435557645","0.9934032468040438","84.16539619553217","21.680424212361494","0.8813416279265469","74.67105381092576","19.234747249854692","0.8719365600978941","73.87421600856193","19.029487340621227","0.8481156840254549","71.85600892215305","18.509611147321","100.0","97.60086087734365","77.21074525452309","65.64068930329663","0.46","0.25","29.599999999999998","{0: [5, 7, 11, 13, 14, 17, 31, 33, 35, 36, 39, 40, 45, 48, 52, 65, 75, 78, 85, 87, 90], 1: [6, 18, 22, 23, 25, 41, 43, 46, 47, 56, 57, 59, 60, 61, 63, 72, 74, 80, 82, 97, 99], 2: [4, 16, 19, 24, 28, 58, 66, 70, 71, 73, 77, 86, 92, 93, 94, 95, 96, 98], 3: [2, 10, 12, 26, 30, 32, 37, 38, 42, 44, 49, 53, 55, 62, 67, 69, 76, 79, 81, 83, 91], 4: [0, 1, 3, 8, 9, 15, 20, 21, 27, 29, 34, 50, 51, 54, 64, 68, 84, 88, 89]}","[array([22.88223783]), array([17.28548281]), array([15.32663907]), array([15.32663907])]","1.0","87.41968985680104","20.003581346897352","0.9696346028376922","84.76515625449352","19.396164654630283","0.9228648636459643","80.67656015966918","18.46060237213538","0.9135466463188064","79.86196449091078","18.27420465382351","0.9166463401106493","80.13293876084472","18.33620963073911","100.0","75.54105036216126","66.98050766471911","66.98050766471911","0.53","0.34","19.6","{0: [0, 2, 3, 8, 9, 19, 22, 25, 27, 38, 44, 54, 66, 68, 84, 93], 1: [1, 12, 15, 21, 26, 29, 30, 37, 49, 50, 53, 55, 58, 62, 67, 69, 76, 77, 79, 80, 82, 88, 89, 95, 96, 98], 2: [10, 11, 28, 33, 34, 41, 42, 43, 46, 51, 56, 65, 70, 71, 78, 81, 85, 86, 91, 92], 3: [4, 52, 57, 61, 64, 74, 94], 4: [5, 6, 7, 13, 14, 16, 17, 18, 20, 23, 24, 31, 32, 35, 36, 39, 40, 45, 47, 48, 59, 60, 63, 72, 73, 75, 83, 87, 90, 97, 99]}","[array([12.93822047]), array([18.42882212]), array([18.42882212]), array([32.55928594])]","1.0","78.45463104392383","25.544267658146588","0.8153428347427465","63.96742127404913","20.827335603820696","0.7574918193582795","59.42874120654441","19.349573782544315","0.7135417834247215","55.980657353009924","18.22690230107235","0.5476403289582935","42.96491995319599","13.989071143306095","100.0","56.60081782081361","56.60081782081361","39.7374208047869"
"2","2","0.57","0.22","28.999999999999996","{0: [4, 6, 15, 25, 29, 39, 42, 43, 59, 63, 64, 67, 74, 75, 76, 83, 87, 90], 1: [0, 3, 8, 17, 22, 23, 35, 37, 38, 41, 47, 50, 51, 52, 57, 65, 70, 77, 78, 80, 81, 85, 88, 89, 93, 96], 2: [11, 13, 19, 20, 28, 31, 34, 55, 66, 84, 91, 94], 3: [18, 21, 24, 27, 40, 46, 48, 49, 58, 61, 68, 69, 72, 73, 86, 95, 99], 4: [1, 2, 5, 7, 9, 10, 12, 14, 16, 26, 30, 32, 33, 36, 44, 45, 53, 54, 56, 60, 62, 71, 79, 82, 92, 97, 98]}","[array([20.08202789]), array([20.08202789]), array([18.6557987]), array([16.30307237])]","1.0","87.17977945123826","17.5074676207779","0.9810737727950646","85.52979513766796","17.176117310804006","0.9038562717067334","78.7979904230115","15.824234410742665","0.8273546879451518","72.12859922300639","14.484885410098547","0.8450934194595584","73.67505792417708","14.795445677720693","100.0","100.0","92.89798226353348","81.18240080625013","0.57","0.2","30.599999999999998","{0: [4, 6, 24, 41, 42, 43, 47, 52, 59, 63, 74, 77, 80, 87, 96], 1: [0, 8, 20, 22, 25, 26, 29, 36, 39, 49, 50, 55, 64, 65, 67, 70, 76, 85, 88, 99], 2: [3, 11, 13, 14, 15, 17, 19, 23, 33, 34, 35, 37, 46, 51, 57, 61, 66, 68, 69, 71, 73, 75, 78, 81, 83, 84, 89, 93], 3: [5, 18, 21, 27, 28, 31, 32, 38, 48, 58, 72, 79, 82, 86, 90, 91, 97, 98], 4: [1, 2, 7, 9, 10, 12, 16, 30, 40, 44, 45, 53, 54, 56, 60, 62, 92, 94, 95]}","[array([19.5372711]), array([19.5372711]), array([19.5372711]), array([16.78197049])]","1.0","93.00357527992007","18.170360632029404","0.987210762068671","91.81413042720091","17.937975566608326","0.9993188232696142","92.94022340859671","18.157983405184147","0.9462230914022185","88.00213051282492","17.19321480913203","0.9930769589472581","92.35970771020541","18.04456647943074","100.0","100.0","100.0","85.89720850434215","0.5","0.16","36.0","{0: [0, 1, 7, 9, 15, 18, 27, 28, 31, 34, 37, 44, 50, 54, 55, 58, 62, 67, 88, 91, 92, 93, 95], 1: [10, 12, 13, 16, 23, 38, 45, 49, 56, 59, 60, 61, 63, 64, 72, 81, 84, 89, 90, 98], 2: [3, 14, 19, 22, 25, 35, 39, 40, 43, 48, 51, 69, 70, 75, 76, 78, 79, 83], 3: [2, 8, 11, 17, 20, 21, 29, 30, 32, 42, 46, 53, 57, 66, 74, 80, 82, 85, 86, 94], 4: [4, 5, 6, 24, 26, 33, 36, 41, 47, 52, 65, 68, 71, 73, 77, 87, 96, 97, 99]}","[array([16.60238036]), array([17.42714805]), array([17.42714805]), array([19.30652624])]","1.0","89.8480272930832","17.346532968205885","1.0072069711168445","90.49555943068994","17.471548930285138","1.0450753366800472","93.897957373357","18.128433781979304","1.0786062928229718","96.91064763604969","18.710079618168013","1.056056191376094","94.88456550578879","18.318913539983356","100.0","90.26558083795959","90.26558083795959","85.99361766108157"
"3","2","0.6","0.25","27.200000000000003","{0: [4, 6, 10, 22, 24, 30, 31, 45, 49, 51, 52, 53, 56, 58, 59, 63, 66, 76, 81, 82, 91, 96, 97, 99], 1: [0, 5, 8, 15, 18, 20, 27, 29, 33, 35, 39, 41, 46, 48, 50, 54, 57, 62, 65, 79, 83, 89, 90, 93, 94], 2: [2, 3, 9, 12, 17, 21, 25, 28, 32, 42, 43, 67, 71, 74, 75, 77, 84, 85, 87, 88, 92], 3: [7, 11, 13, 16, 19, 23, 34, 38, 40, 47, 55, 64, 68, 70, 73, 80, 95, 98], 4: [1, 14, 26, 36, 37, 44, 60, 61, 69, 72, 78, 86]}","[array([24.46264626]), array([18.75685236]), array([17.16004064]), array([14.22695639])]","1.0","82.05089435071585","20.071820034779016","0.8738530797509004","71.70042672468881","17.53982175359747","0.7956174794070625","65.28112574641173","15.969490863183058","0.8742106826831423","71.72976836510168","17.546999495297335","0.7155026974303067","58.707636234506296","14.361441377220059","100.0","76.6754837800721","70.14793273739743","58.15787971833098","0.64","0.29","25.2","{0: [4, 6, 10, 22, 24, 27, 29, 30, 31, 38, 39, 45, 46, 49, 50, 51, 53, 54, 56, 57, 58, 59, 63, 65, 76, 81, 82, 96, 97, 99], 1: [5, 15, 16, 18, 20, 44, 52, 62, 66, 80, 84, 89, 93, 94], 2: [0, 8, 11, 23, 25, 26, 33, 42, 55, 69, 71, 73, 74, 79, 83, 88, 90, 91, 92, 95], 3: [2, 3, 7, 9, 12, 13, 17, 21, 28, 32, 35, 40, 48, 64, 67, 68, 70, 72, 75, 77, 85], 4: [1, 14, 19, 34, 36, 37, 41, 43, 47, 60, 61, 78, 86, 87, 98]}","[array([21.2669097]), array([21.2669097]), array([11.19116805]), array([11.19116805])]","1.0","79.14057261041258","16.83075411322991","0.85470415436902","67.64177618926271","14.385315461741078","0.8385176740788944","66.360768870555","14.112884792019331","0.7973924047124104","63.10609150413401","13.420715495471692","0.8774375487579449","69.44091003858055","14.767935632860151","100.0","100.0","52.622445912274685","52.622445912274685","0.53","0.23","30.2","{0: [3, 12, 14, 17, 20, 28, 31, 33, 36, 39, 47, 52, 53, 54, 60, 61, 67, 68, 70, 81, 94], 1: [8, 16, 19, 23, 26, 27, 32, 34, 35, 38, 43, 50, 59, 62, 64, 66, 91, 93, 95], 2: [1, 2, 10, 13, 18, 21, 25, 41, 42, 63, 74, 82, 83, 85, 90, 92, 97, 99], 3: [4, 5, 7, 11, 22, 29, 44, 69, 71, 72, 75, 76, 77, 78, 80, 84, 86, 88, 96, 98], 4: [0, 6, 9, 15, 24, 30, 37, 40, 45, 46, 48, 49, 51, 55, 56, 57, 58, 65, 73, 79, 87, 89]}","[array([16.53985032]), array([16.53985032]), array([16.53985032]), array([17.7780253])]","1.0","103.34312794992778","18.372367428905054","0.9481471348677909","97.98449067399953","17.41970753845465","0.9461472894137487","97.77782038936238","17.38296564297196","0.917616282161159","94.82933685631767","16.858783494610627","0.8769588486347341","90.62767050128066","16.111810187146865","100.0","93.03536273405226","93.03536273405226","93.03536273405226"
