"Fold","Landmark","S-MHA Expected Error Accuracy (%)","S-MHA True Separation Accuracy (%)","S-MHA Av Distance (%) From Correct Bin ","S-MHA Binned keys","S-MHAexpected error bounds","S-MHA B0%","S-MHA NOE0","S-MHA OE0","S-MHA B1%","S-MHA NOE1","S-MHA OE1","S-MHA B2%","S-MHA NOE2","S-MHA OE2","S-MHA B3%","S-MHA NOE3","S-MHA OE3","S-MHA B4%","S-MHA NOE4","S-MHA OE4","S-MHA NEE0","S-MHA NEE1","S-MHA NEE2","S-MHA NEE3","E-MHA Expected Error Accuracy (%)","E-MHA True Separation Accuracy (%)","E-MHA Av Distance (%) From Correct Bin ","E-MHA Binned keys","E-MHAexpected error bounds","E-MHA B0%","E-MHA NOE0","E-MHA OE0","E-MHA B1%","E-MHA NOE1","E-MHA OE1","E-MHA B2%","E-MHA NOE2","E-MHA OE2","E-MHA B3%","E-MHA NOE3","E-MHA OE3","E-MHA B4%","E-MHA NOE4","E-MHA OE4","E-MHA NEE0","E-MHA NEE1","E-MHA NEE2","E-MHA NEE3","E-CPV Expected Error Accuracy (%)","E-CPV True Separation Accuracy (%)","E-CPV Av Distance (%) From Correct Bin ","E-CPV Binned keys","E-CPVexpected error bounds","E-CPV B0%","E-CPV NOE0","E-CPV OE0","E-CPV B1%","E-CPV NOE1","E-CPV OE1","E-CPV B2%","E-CPV NOE2","E-CPV OE2","E-CPV B3%","E-CPV NOE3","E-CPV OE3","E-CPV B4%","E-CPV NOE4","E-CPV OE4","E-CPV NEE0","E-CPV NEE1","E-CPV NEE2","E-CPV NEE3"
"0","4","0.55","0.22","31.0","{0: [0, 1, 3, 4, 6, 13, 14, 15, 18, 25, 28, 31, 41, 44, 45, 47, 48, 50, 57, 61, 71, 79, 80, 81, 86, 88, 90, 92, 93, 94, 99], 1: [2, 8, 11, 19, 22, 35, 36, 40, 49, 62, 64, 66, 69, 76, 77, 78, 84, 85, 87, 95, 97], 2: [7, 9, 17, 20, 23, 30, 32, 33, 37, 39, 42, 51, 52, 53, 55, 58, 59, 63, 67, 73, 82, 83, 89], 3: [10, 12, 16, 21, 26, 29, 38, 43, 46, 54, 60, 65, 68, 70, 72, 74, 75, 91, 96, 98], 4: [5, 24, 27, 34, 56]}","[array([51.61974203]), array([51.61974203]), array([42.54677652]), array([42.54677652])]","1.0","90.35612299782166","46.64159759949283","0.9657562349555319","87.26198915155518","45.04441368999717","0.9640959468219419","87.11197195274471","44.966975198971056","1.030818592532318","93.14077153529153","48.07902599096794","1.0276267052710717","92.85236497731917","47.93015126974594","100.0","100.0","82.42345824018476","82.42345824018476","0.48","0.22","31.4","{0: [1, 3, 4, 13, 16, 25, 29, 41, 43, 48, 50, 69, 72, 81, 88, 92, 93, 99], 1: [12, 22, 31, 34, 47, 49, 54, 60, 61, 64, 67, 71, 75, 79, 80, 86, 90, 98], 2: [2, 6, 8, 15, 17, 19, 26, 28, 38, 39, 40, 45, 46, 58, 59, 66, 68, 82, 87, 94, 95], 3: [5, 14, 18, 35, 44, 62, 63, 65, 77, 78, 83, 96, 97], 4: [0, 7, 9, 10, 11, 20, 21, 23, 24, 27, 30, 32, 33, 36, 37, 42, 51, 52, 53, 55, 56, 57, 70, 73, 74, 76, 84, 85, 89, 91]}","[array([28.77191343]), array([25.73120003]), array([24.49069228]), array([20.690956])]","1.0","84.46397617570447","24.3019021053567","0.9903230724193712","83.64662439508024","24.066734358611633","0.9802553671239723","82.79626597486565","23.822069970097267","0.9328100813376098","78.78884848655684","22.669059279556414","0.9853431015239674","83.22599625201515","23.945711593424004","100.0","89.43166082356223","85.12013751449408","71.91372951515","0.59","0.26","31.8","{0: [8, 11, 12, 19, 20, 26, 28, 31, 33, 36, 42, 44, 46, 51, 53, 54, 57, 65, 68, 70, 74, 76, 87, 90, 95, 97], 1: [0, 3, 15, 18, 21, 23, 24, 25, 27, 40, 43, 47, 52, 55, 56, 62, 77, 82, 83, 85, 96], 2: [6, 7, 22, 30, 35, 38, 39, 45, 48, 58, 61, 67, 75, 81, 84, 89, 91, 94], 3: [2, 5, 9, 10, 17, 37, 41, 50, 60, 63, 64, 66, 73, 80, 86, 88, 98, 99], 4: [1, 4, 13, 14, 16, 29, 32, 34, 49, 59, 69, 71, 72, 78, 79, 92, 93]}","[array([27.47704885]), array([27.47704885]), array([27.47704885]), array([27.47704885])]","1.0","93.44923391934","25.677091651848095","1.0096536086556713","94.3513562527696","25.924968246070843","0.9960456292906118","93.0797010059146","25.57555491271775","1.0234881534881701","95.64418386898936","26.280199121696512","1.1261597824146403","105.23876893741874","28.916507947686025","100.0","100.0","100.0","100.0"
"1","4","0.75","0.15","31.0","{0: [0, 5, 11, 28, 30, 33, 35, 36, 41, 55, 60, 63, 72, 76, 80, 82, 85, 97], 1: [8, 13, 24, 26, 49, 54, 56, 73, 78, 91, 92, 98], 2: [1, 2, 4, 10, 15, 17, 18, 19, 21, 22, 23, 25, 27, 29, 38, 42, 50, 51, 62, 66, 67, 68, 69, 70, 83, 84, 86, 88, 95, 96], 3: [7, 20, 31, 37, 40, 44, 46, 47, 48, 52, 57, 58, 64, 65, 74, 77, 79, 89, 90, 94, 99], 4: [3, 6, 9, 12, 14, 16, 32, 34, 39, 43, 45, 53, 59, 61, 71, 75, 81, 87, 93]}","[array([78.41742495]), array([78.41742495]), array([78.41742495]), array([78.41742495])]","1.0","93.00903394580874","72.93528938793015","1.0596099283210927","98.55329579253247","77.28295676042282","1.113627577157072","103.57742512679084","81.22274961033057","1.3803232982257587","128.38253650087026","100.67427920499793","2.1384082723191207","198.89128759012732","155.96542617113883","100.0","100.0","100.0","100.0","0.65","0.25","26.0","{0: [5, 7, 11, 21, 30, 35, 41, 51, 59, 60, 61, 63, 69, 72, 80, 85, 91], 1: [2, 3, 6, 8, 9, 15, 16, 17, 31, 33, 36, 40, 46, 47, 48, 53, 55, 66, 68, 73, 78, 82, 87, 92, 97, 99], 2: [0, 1, 4, 10, 12, 14, 18, 22, 23, 25, 26, 28, 34, 37, 38, 39, 42, 45, 52, 54, 62, 67, 84, 90, 96], 3: [19, 24, 27, 29, 44, 56, 57, 58, 74, 83, 89, 93, 94, 95], 4: [13, 20, 32, 43, 49, 50, 64, 65, 70, 71, 75, 76, 77, 79, 81, 86, 88, 98]}","[array([20.32555796]), array([20.32555796]), array([20.32555796]), array([18.74651552])]","1.0","89.36635285137507","18.164209844258178","0.9579789924889374","85.61108866697116","17.400931445960087","0.8817685106443541","78.80043585547482","16.01662826140305","0.8206659547096531","73.33992328169344","14.906748613384616","0.8685225715002569","77.61669458407559","15.776026243205393","100.0","100.0","100.0","92.23124676431965","0.61","0.22","31.0","{0: [1, 6, 9, 13, 16, 27, 34, 36, 40, 41, 43, 45, 47, 50, 56, 58, 63, 64, 68, 72, 75, 79, 81, 87, 92, 94, 98], 1: [0, 10, 32, 39, 44, 62, 67, 73, 76, 91], 2: [2, 7, 8, 14, 19, 21, 22, 23, 24, 28, 31, 35, 49, 54, 57, 65, 74, 77, 82, 83, 86, 90, 93, 95], 3: [3, 4, 5, 11, 18, 20, 25, 26, 30, 46, 48, 51, 69, 80, 84, 89, 99], 4: [12, 15, 17, 29, 33, 37, 38, 42, 52, 53, 55, 59, 60, 61, 66, 70, 71, 78, 85, 88, 96, 97]}","[array([22.00654484]), array([22.00654484]), array([22.00654484]), array([23.69699487])]","1.0","97.80472548247651","23.176780776204726","0.8569284003607054","83.8116469554165","19.860841676063863","0.8107951614045527","79.2995981836925","18.791621710280843","0.8432361685516813","82.47248198209248","19.543499821089135","0.8991117412959184","87.93737703551872","20.838515721327198","100.0","92.86639494877049","92.86639494877049","92.86639494877049"
"2","4","0.53","0.23","28.599999999999998","{0: [0, 4, 6, 8, 13, 18, 22, 28, 35, 47, 48, 50, 51, 52, 53, 55, 74, 75, 77, 78, 80, 84, 87, 99], 1: [3, 9, 15, 19, 20, 23, 24, 25, 37, 38, 45, 49, 54, 63, 76, 85, 88, 89, 91, 94, 96, 97], 2: [1, 7, 10, 11, 16, 26, 31, 32, 40, 41, 43, 46, 56, 57, 59, 60, 64, 65, 68, 70, 73, 79, 83, 95], 3: [5, 29, 44, 61, 62, 66, 69, 71, 72, 81, 82, 92, 93], 4: [2, 12, 14, 17, 21, 27, 30, 33, 34, 36, 39, 42, 58, 67, 86, 90, 98]}","[array([55.0526059]), array([55.0526059]), array([48.61406653]), array([48.40717653])]","1.0","96.95964231114841","53.37880976521891","0.9952553280542851","96.49960061640815","53.12554482403022","0.9617732851400486","93.25319371159726","51.3383132247603","0.9298740298588009","90.16025332953546","49.63556894545042","0.9169492163089369","88.90706803080238","48.94565778172131","100.0","100.0","88.30475094858089","87.92894675872611","0.44","0.28","26.200000000000003","{0: [0, 4, 6, 18, 25, 28, 48, 51, 52, 59, 74, 75, 77, 80, 92, 99], 1: [2, 3, 9, 10, 13, 14, 16, 19, 20, 24, 32, 33, 37, 38, 45, 49, 50, 54, 57, 63, 64, 70, 71, 72, 73, 76, 78, 84, 85, 88, 91, 93, 94, 96], 2: [43, 46, 61, 65, 79, 87, 95, 97, 98], 3: [1, 26, 27, 31, 40, 41, 53, 55, 56, 58, 67, 68, 81, 83], 4: [5, 7, 8, 11, 12, 15, 17, 21, 22, 23, 29, 30, 34, 35, 36, 39, 42, 44, 47, 60, 62, 66, 69, 82, 86, 89, 90]}","[array([24.72172064]), array([23.9459273]), array([14.16119827]), array([14.16119827])]","1.0","91.55176959204118","22.63317271927689","0.9709817985199596","88.8951018961651","21.97639875317636","0.8876622116953996","81.26704628069892","20.090612153677306","0.8439031854517881","77.26082999247171","19.100206554678277","0.7740286177232987","70.86368966744956","17.518723394594563","100.0","96.861895873734","57.28241362257948","57.28241362257948","0.54","0.28","26.0","{0: [2, 7, 8, 11, 12, 15, 21, 22, 23, 26, 29, 32, 33, 37, 42, 43, 44, 47, 50, 51, 53, 55, 65, 68, 81, 82, 86, 89, 90, 91, 98], 1: [17, 25, 28, 30, 31, 34, 40, 46, 49, 52, 56, 60, 62, 64, 67, 69, 73, 74, 77, 83, 97], 2: [1, 4, 9, 16, 18, 19, 35, 41, 57, 58, 61, 70, 72, 76, 79, 80, 85, 88, 95, 96, 99], 3: [5, 24, 27, 39, 54, 63, 71, 75, 78, 87, 93], 4: [0, 3, 6, 10, 13, 14, 20, 36, 38, 45, 48, 59, 66, 84, 92, 94]}","[array([20.03267943]), array([22.64250355]), array([22.64250355]), array([22.64250355])]","1.0","100.86131075973917","22.83752586587126","0.9605906327930618","96.8864303270355","21.93751342292519","0.9293782555105657","93.73830904239546","21.224699949400854","0.8363555196200483","84.35591397002082","19.10029081238705","0.828598691706529","83.57355013932553","18.923144054274943","100.0","100.0","100.0","88.47378287862256"
"3","4","0.44","0.26","28.4","{0: [2, 4, 12, 22, 27, 31, 42, 52, 54, 63, 71, 75, 76, 79, 81, 91, 96, 97], 1: [6, 10, 18, 23, 24, 25, 29, 38, 40, 48, 53, 58, 66, 72, 82, 88, 89, 92, 94, 99], 2: [0, 5, 11, 28, 35, 45, 46, 50, 51, 59, 68, 69, 73, 77, 90], 3: [7, 8, 9, 15, 19, 21, 26, 30, 39, 41, 43, 44, 61, 62, 64, 74, 83, 84], 4: [1, 3, 13, 14, 16, 17, 20, 32, 33, 34, 36, 37, 47, 49, 55, 56, 57, 60, 65, 67, 70, 78, 80, 85, 86, 87, 93, 95, 98]}","[array([39.16457039]), array([39.16457039]), array([37.64041259]), array([26.45327701])]","1.0","98.46123476396139","38.56191959720051","0.9744882037381121","95.94931180296928","37.578135760969424","0.9413533316633848","92.68681138474572","36.300391488160265","0.9275338613724512","91.32612927611653","35.767486185925385","0.8671464651369001","85.38031167858358","33.438832267605775","100.0","100.0","96.10832498958509","67.54389679446228","0.59","0.27","27.599999999999998","{0: [2, 4, 12, 22, 23, 25, 31, 34, 42, 53, 54, 63, 65, 66, 71, 76, 81, 82, 96], 1: [8, 10, 16, 19, 24, 27, 29, 35, 46, 48, 50, 52, 58, 61, 68, 75, 79, 83, 88, 89, 91, 92, 94, 97], 2: [0, 17, 18, 30, 37, 38, 39, 40, 43, 44, 45, 49, 59, 60, 62, 72, 73, 99], 3: [6, 15, 28, 33, 41, 47, 70, 84, 85, 90], 4: [1, 3, 5, 7, 9, 11, 13, 14, 20, 21, 26, 32, 36, 51, 55, 56, 57, 64, 67, 69, 74, 77, 78, 80, 86, 87, 93, 95, 98]}","[array([26.43204799]), array([21.77353364]), array([21.77353364]), array([21.04866977])]","1.0","85.23733758352294","22.529973976352952","0.933562126928165","79.5743501681677","21.03313042500027","0.8830761469834725","75.27105965238697","19.89568261067567","0.8729933863542086","74.41163198085655","19.66851827608856","0.8403963681786862","71.63314893841331","18.934108304887335","100.0","82.37550737974223","82.37550737974223","79.63313996213772","0.57","0.18","31.8","{0: [3, 5, 11, 39, 41, 55, 56, 57, 74, 79, 82, 85, 87, 88, 98], 1: [22, 33, 40, 47, 48, 49, 52, 64, 67, 70, 90, 95], 2: [1, 8, 14, 16, 23, 24, 26, 29, 34, 35, 38, 50, 51, 73, 84, 94, 99], 3: [2, 4, 6, 7, 9, 12, 13, 15, 17, 18, 20, 21, 30, 31, 32, 36, 44, 46, 60, 62, 65, 68, 69, 71, 72, 75, 77, 83, 86, 92, 93], 4: [0, 10, 19, 25, 27, 28, 37, 42, 43, 45, 53, 54, 58, 59, 61, 63, 66, 76, 78, 80, 81, 89, 91, 96, 97]}","[array([21.65722285]), array([21.65722285]), array([22.97066747]), array([23.09326228])]","1.0","94.97597185169843","21.933050282730452","0.9665971842403493","91.80350696234238","21.200424645089253","0.9738440605173532","92.49178607963984","21.359370746865505","1.0175917082366221","96.64676143800315","22.31889010404341","1.021100511634357","96.98001345073955","22.395848865398143","100.0","99.46913168606235","93.78156533882965","93.78156533882965"
