fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[22.976548210780205, 22.976548210780205, 27.40739729012588, 27.40739729012588]","[15.487896410343865, 20.889911234044323, 20.889911234044323, 29.399062088958058]","[41.5001314243522, 41.5001314243522, 49.051814914445195, 50.60522711718715]"
1,"[9.023954968687125, 15.453757007079956, 24.487314476225777, 25.813525071261687]","[8.927180559013772, 8.927180559013772, 21.233034002420897, 33.18250794671758]","[17.747562751379835, 17.747562751379835, 37.5540121119441, 37.69296649644632]"
2,"[10.2076184007075, 16.624226676619514, 21.008376445890267, 24.76470654397489]","[8.440264925882529, 12.583020401503369, 15.372056413859038, 21.277437583408073]","[11.700712512121909, 18.343392530938605, 18.343392530938605, 25.86499134413393]"
3,"[11.327918999272024, 11.327918999272024, 12.07589168132542, 27.943106057341055]","[10.870544615522839, 12.741469100817373, 13.241585561854285, 21.710235168452996]","[10.307512965874366, 11.99992862738485, 32.87438446009698, 32.87438446009698]"
