fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[16.681001839631744, 16.681001839631744, 16.681001839631744, 18.814418627685544]","[15.593136935167431, 15.593136935167431, 15.593136935167431, 15.593136935167431]","[18.75941083737992, 18.75941083737992, 18.75941083737992, 18.75941083737992]"
1,"[12.605748806958031, 18.72396798542559, 23.641796758211385, 27.487727353473524]","[11.14261173734358, 11.14261173734358, 15.400211298467603, 17.53717145066458]","[55.3622020494864, 55.3622020494864, 55.3622020494864, 63.30296972111745]"
2,"[13.372943599397065, 14.739469821816423, 26.518776265056577, 26.518776265056577]","[12.217399565869645, 13.650378354469384, 14.257251755380082, 16.417921875162634]","[20.959922375119163, 22.77934609320205, 22.77934609320205, 28.00191174380989]"
3,"[11.077845253256829, 12.39179929596656, 15.505598563676207, 26.50351902679169]","[8.552026562630035, 10.783791043331613, 12.902179727419798, 13.633033123224905]","[12.498790842046557, 27.162502812794713, 27.162502812794713, 37.738938652120034]"
