fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[12.465879414337396, 12.465879414337396, 12.465879414337396, 12.465879414337396]","[12.960803918058444, 12.960803918058444, 12.960803918058444, 12.960803918058444]","[15.326749646863393, 15.326749646863393, 15.326749646863393, 15.326749646863393]"
1,"[10.476607059458502, 13.215039307546794, 13.215039307546794, 13.215039307546794]","[11.264252984904132, 12.33569663677483, 12.33569663677483, 14.867318907100538]","[10.572857990015834, 14.604292555783113, 14.604292555783113, 14.604292555783113]"
2,"[8.410245516576321, 8.461721602378168, 10.101042438146841, 11.554328161152219]","[8.829212013507407, 9.954917641859051, 9.954917641859051, 12.459267448654119]","[12.037857823024273, 12.037857823024273, 14.707613940683215, 20.148926191267307]"
3,"[7.787747521472832, 7.787747521472832, 9.848688662514556, 10.81759227534892]","[6.745811094865005, 9.573806061725566, 9.573806061725566, 20.723419204325825]","[14.076867743113157, 16.048370429279284, 17.40763539610184, 17.40763539610184]"
