fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[10.433546738581635, 11.543772614110472, 13.011314474311924, 13.011314474311924]","[9.615089105273567, 9.615089105273567, 10.929284841150215, 14.09522027495288]","[10.492777200670234, 10.492777200670234, 11.52333068111795, 21.59666108608319]"
1,"[10.266289766486167, 10.266289766486167, 13.229250888939651, 14.938647903781844]","[10.64625087042317, 11.97549157537763, 12.682762103384562, 12.682762103384562]","[17.20610327307029, 17.20610327307029, 23.92813789181941, 23.92813789181941]"
2,"[9.196558494161346, 9.196558494161346, 9.196558494161346, 9.196558494161346]","[7.9422190020216785, 8.677773752527369, 10.272552526168004, 10.272552526168004]","[10.898375521858929, 10.898375521858929, 11.215848423727596, 11.215848423727596]"
3,"[8.879376487315012, 9.260143797007325, 9.260143797007325, 9.260143797007325]","[7.5704635539550305, 9.029241652700456, 9.917979704373652, 9.917979704373652]","[10.777680037948862, 10.777680037948862, 10.777680037948862, 10.777680037948862]"
