fold,S-MHA Uncertainty bounds,E-MHA Uncertainty bounds,E-CPV Uncertainty bounds
0,"[6.23606797749979, 7.826237921249263, 7.970499717673069, 7.970499717673069]","[5.4936884201632035, 5.4936884201632035, 5.4936884201632035, 7.449484296243932]","[5.151807379620335, 5.5704859321436855, 9.348626722679846, 9.348626722679846]"
1,"[5.894546138027105, 5.894546138027105, 5.894546138027105, 5.894546138027105]","[4.149980590458777, 4.895754184584838, 4.955672282916543, 5.856754696179737]","[5.9592374750960415, 5.9592374750960415, 6.193604028071335, 7.261115352462274]"
2,"[4.1024032710365415, 4.1024032710365415, 5.093661662160578, 5.093661662160578]","[3.9914100310359446, 3.9914100310359446, 4.158005560025196, 4.158005560025196]","[4.258945954276971, 4.258945954276971, 4.258945954276971, 4.258945954276971]"
3,"[3.135377530116418, 3.135377530116418, 3.448844235664779, 4.426703296426839]","[2.651937608225165, 2.8283077689958556, 2.8283077689958556, 2.8283077689958556]","[3.341193636167792, 3.341193636167792, 3.341193636167792, 4.308723483786786]"
4,"[3.685428956992876, 3.685428956992876, 4.6976385086760875, 6.071474938798688]","[2.193438118662963, 2.2601038829727584, 3.854855802771033, 3.854855802771033]","[3.2183505553412934, 3.2183505553412934, 3.2183505553412934, 3.2183505553412934]"
5,"[3.596936872493522, 3.596936872493522, 3.596936872493522, 4.531221689676814]","[2.598215129818489, 2.598215129818489, 2.6052819042392446, 2.6335490019222676]","[2.64180841290323, 2.7084259940083064, 2.7084259940083064, 3.767648591285894]"
6,"[2.587936720161412, 3.4807449572895552, 3.4807449572895552, 4.023199895521526]","[2.2659874234917687, 2.2659874234917687, 3.669029150279569, 3.669029150279569]","[3.1294662576998338, 3.1294662576998338, 3.1294662576998338, 3.1294662576998338]"
7,"[3.3461719610276064, 3.3461719610276064, 3.3461719610276064, 3.3461719610276064]","[1.9101162658441835, 1.9101162658441835, 2.49071198499986, 3.190811504092592]","[2.5170798701027284, 2.5170798701027284, 2.5170798701027284, 2.5170798701027284]"
